100,Samsung Galaxy A52,7850,0,Samsung Galaxy A52 Dual Sim. #128GB. 8GB RAM. #4G LTE - Awesome Black . #Display Type:  Super AMOLED.  90Hz. #6.5 inches. 1080x2400 pixels,Mobiles & Tablets & Accessories,24,3,0,1,1,1,1,4,0,hossam@gmail.com
108,SP-Splash Smart,841.32,12,Women.SP-Splash Smart.Jersey Bottoms.TROUSERS.SZAP-16,Women's Fashion,0,3,0,0,0,0,0,0,1,bassant@gmail.com
102,Nokia 106 Dual SIM,451.81,1,Nokia 106 Dual SIM- Dark Grey.Display size: 1.8''.Radio features: FM Radio.Maximum standby time: 35days.Maximum talk time (2G): 9.9h.Dimensions Height: 112.9 mm Width: 47.5 mm Thickness: 14.9 mm Weight: 74.2 g.Height: 112.9 mm.Width: 47.5 mm,Mobiles & Tablets & Accessories,0,6,0,0,0,0,0,0,1,hossam@gmail.com
103,Western Digital 2TB,1145,4,Western Digital 2TB My Passport  Portable External Hard Drive USB 3.0 - Black.This product has been certified to meet Google's compatibility standards. Chromebook and the works with Chromebook badge are trademarks of Google LLC.Slim style. The My Passport Drive has been redesigned for to make the most of r own Journey. It features a convenient. slim form factor and is available in a range of vibrant colours.Compatibility: Windows 10 or Windows 8.1 operating systems. Requires reformatting for other operating systems.Backed up. The My Passport Drive comes equipped with WD Backup software to help make sure everything create while on r own life Journey - photos. videos. music and documents - doesnt get lost.can set it to run automatically to r schedule. Just pick the time and frequency to back up important files from r system onto r My Passport Drive.Locked down. The My Passport drive built-in 256-bit AES hardware Encryption with password protection helps ke  digital life's contents secure.Just activate password protection and set r own personalized password using WD Discovery.Social friendly. Included WD Discovery software lets connect to popular social media and cloud storage services like Facebook. Dropbox and Google Drive.,Computer & Office Supplies,0,3,0,0,0,0,0,0,1,hossam@gmail.com
104,Lenovo V15,5555,2,Lenovo V15-ADA 82C7007YED Laptop - AMD 3020e. 4 GB RAM. 1TB HDD. Integrated AMD Radeon Graphics. 15.6" HD (1366x768) TN 220nits Anti-glare. Dos Iron Grey,Computer & Office Supplies,5,6,0,0,0,0,0,0,1,hossam@gmail.com
105,Kingston 64GB,162.39,18,Kingston 64GB Exodia USB 3.20 Flash - DTX/64GB.USB 3.2 Gen 1 performance for easy access to laptops. desktop PCs. monitors and other digital devices..Quick transfers and convenient storage of doents. music. videos and more..Large loop easily attaches to key rings.Practical cap protects the USB plug.Available in capacities up to 256GB.Compatible devices: Windows 10. 8.1. 8,Computer & Office Supplies,33,2,0,0,0,0,0,0,1,hossam@gmail.com
106,TORNADO Smart LED TV,4550,6,TORNADO Smart LED TV 43 Inch Full HD 43ES1500E.TORNADO Smart LED TV 43 Inch Full HD.With Built-in Receiver.Wi-Fi Connection.Netflix Application.3 Years Full Free Warranty,TV & Electronics,0,10,0,0,0,0,0,0,1,hossam@gmail.com
107,Toshiba LED TV,5549,7,Toshiba LED 43 Inch Full HD TV with Built-In Receiver. Black - 43L3965EA.Watch your favorite movies when you connect your USB device to the TVConnect With Wired and Wireless InternetOperating System by Toshiba Smart Portal.Unique and fashionable design..Made of high quality material.suitable weight.Compatible with multiple devices,TV & Electronics,6,6,0,0,0,0,0,0,1,hossam@gmail.com
109,Slipper,129,15,Ipanema Ipanema No Fem Slipper,Women's Fashion,12,2,0,0,0,0,0,0,1,bassant@gmail.com
110,Tommy Hilfiger Watch,2243,5,Tommy Hilfiger Men's Analogue Quartz Watch with Leather Strap 1791728,Men's Fashion,15,3,0,0,0,0,0,0,1,bassant@gmail.com
